Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,New_Price
Mahindra Bolero ZLX,2016,40448,Diesel,Manual,First,15.96 kmpl,2523 CC,62.1 bhp,7,"$4,227.05 ","$13,297.10 "
Maruti Vitara Brezza ZDi,2018,64456,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,"$12,632.85 ","$13,285.02 "
Fiat Avventura MULTIJET Emotion,2014,52782,Diesel,Manual,First,20.5 kmpl,1248 CC,91.72 bhp,5,"$5,857.49 ",
Honda Amaze S Petrol,2016,51672,Petrol,Manual,First,19.5 kmpl,1199 CC,88.76 bhp,5,"$6,859.90 ","$9,118.36 "
Skoda Superb Elegance 1.8 TSI AT,2015,56073,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5,"$16,002.42 ",
Jaguar XF 3.0 Litre S Premium Luxury,2011,65000,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5,"$19,323.67 ",
Maruti Wagon R VXI BSIII,2013,79000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,"$3,623.19 ",
Hyundai Santro Xing XL eRLX Euro III,2007,43206,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5,"$1,195.65 ",
Toyota Corolla Altis VL,2010,70200,Petrol,Automatic,First,14.53 kmpl,1798 CC,138.1 bhp,5,"$6,038.65 ",
Maruti Swift VXi BSIV,2016,42000,Petrol,Manual,First,16.1 kmpl,1197 CC,85 bhp,5,"$5,736.72 ",
Volkswagen Polo 1.2 MPI Highline,2014,62000,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5,"$6,461.35 ",
Hyundai Grand i10 1.2 Kappa Asta,2017,20000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,"$7,222.22 ","$9,444.44 "
Maruti SX4 ZDI,2011,80000,Diesel,Manual,Third,21.5 kmpl,1248 CC,88.8 bhp,5,"$4,227.05 ",
Hyundai Grand i10 1.2 Kappa Magna,2018,50234,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,"$5,760.87 ","$7,632.85 "
Maruti Baleno Delta 1.2,2016,50003,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,"$6,582.13 ",
Tata Tigor 1.2 Revotron XTA,2018,1000,Petrol,Automatic,First,20.3 kmpl,1199 CC,84 bhp,5,"$8,272.95 ",
Maruti Swift Dzire AMT ZDI,2016,54897,Diesel,Automatic,First,26.59 kmpl,1248 CC,74 bhp,5,"$8,816.43 ",
Tata Indica GLS BS IV,2007,108995,Petrol,Manual,First,15.3 kmpl,1193 CC,65.3 bhp,5,"$1,509.66 ",
Maruti SX4 S Cross DDiS 320 Zeta,2015,73000,Diesel,Manual,First,22.7 kmpl,1598 CC,118 bhp,5,"$9,963.77 ",
Maruti Swift VXI BSIII,2008,65000,Petrol,Manual,First,16.1 kmpl,1298 CC,88.2 bhp,5,"$3,272.95 ",
Hyundai Xcent 1.2 Kappa SX,2016,32000,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5,"$4,347.83 ",
Hyundai i20 1.2 Magna,2010,65000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5,"$3,623.19 ",
Maruti Celerio VXI AT,2016,21600,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5,"$5,615.94 ",
Mercedes-Benz New C-Class C 220 CDI Elegance AT,2010,39000,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5,"$11,473.43 ",
Maruti Swift Dzire VXi,2011,58075,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5,"$3,562.80 ",
Volkswagen Vento Petrol Trendline,2011,58000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5,"$3,623.19 ",
Maruti Swift ZDi,2015,58000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,"$7,185.99 ",
Toyota Corolla Altis VL,2008,89000,Petrol,Automatic,First,14.53 kmpl,1798 CC,138.1 bhp,5,"$4,830.92 ",
Honda Civic 2006-2010 1.8 V MT,2008,72000,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,"$3,019.32 ",
Ford EcoSport 1.5 Ti VCT AT Titanium BE,2017,1800,Petrol,Automatic,First,16.05 kmpl,1499 CC,110.4 bhp,5,"$13,731.88 ",
Fiat Linea Emotion Pack (Diesel),2010,172050,Diesel,Manual,Second,19.0 kmpl,1248 CC,93 bhp,5,"$2,717.39 ",
Hyundai i10 Era,2013,46230,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5,"$3,743.96 ",
Volvo XC60 D5 Inscription,2014,86925,Diesel,Automatic,First,11.2 kmpl,2400 CC,215 bhp,5,"$20,748.79 ",
Hyundai i20 1.2 Asta,2018,5000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,"$7,850.24 ",
Honda City i DTEC S,2014,66000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,"$6,884.06 ",
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,2013,119000,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,8,"$9,661.84 ",
Renault KWID RXT,2016,45000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,"$3,140.10 ",
Maruti A-Star Vxi,2009,66149,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5,"$2,958.94 ",
Mercedes-Benz B Class B180,2014,42070,Petrol,Automatic,First,14.8 kmpl,1595 CC,120.7 bhp,5,"$13,973.43 ",
Maruti Wagon R LXI BS IV,2012,35503,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,"$2,777.78 ",
Maruti Swift VDI BSIV,2016,41460,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,"$7,125.60 ",
Hyundai Verna VTVT 1.6 AT SX Option,2015,40600,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5,"$8,695.65 ","$18,285.02 "
Hyundai Verna CRDi 1.6 AT SX Option,2013,87000,Diesel,Automatic,First,22.0 kmpl,1582 CC,126.2 bhp,5,"$7,125.60 ","$18,985.51 "
Honda City V MT,2014,30000,Petrol,Manual,Second,16.8 kmpl,1497 CC,116.3 bhp,5,"$7,246.38 ",
Hyundai i10 Magna Optional 1.1L,2010,27089,Petrol,Manual,First,16.0 kmpl,1086 CC,66.7 bhp,5,"$2,355.07 ",
Toyota Etios GD SP,2016,53702,Diesel,Manual,First,23.59 kmpl,1364 CC,67.04 bhp,5,"$7,910.63 ",
Volvo S60 D4 Momentum,2015,51000,Diesel,Automatic,First,27.03 kmpl,1969 CC,190 bhp,5,"$30,193.24 ","$55,157.00 "
Ford Figo Diesel EXI,2012,36542,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,"$3,200.48 ",
Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,2017,15000,Diesel,Automatic,First,13.0 kmpl,2987 CC,265 bhp,5,"$83,937.20 ",
BMW 3 Series 320d Luxury Line,2012,65000,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,"$16,908.21 ","$66,062.80 "
Maruti Alto 800 VXI,2014,32000,Petrol,Manual,Second,22.74 kmpl,796 CC,47.3 bhp,5,"$2,536.23 ",
Toyota Innova Crysta 2.4 VX MT,2017,24393,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7,"$24,637.68 ","$27,620.77 "
Volkswagen Polo 1.0 MPI Trendline,2019,1000,Petrol,Manual,First,18.78 kmpl,999 CC,75 bhp,5,"$6,859.90 ","$8,140.10 "
Nissan Terrano XL,2014,28238,Petrol,Manual,First,13.24 kmpl,1598 CC,102.5 bhp,5,"$6,702.90 ",
Mitsubishi Pajero Sport 4X4,2013,59000,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7,"$15,398.55 ","$39,963.77 "
Honda Civic 2010-2013 1.8 S MT,2012,92000,Petrol,Manual,Second,14.8 kmpl,1799 CC,130.2 bhp,5,"$4,045.89 ",
Maruti Alto 800 LXI,2013,56840,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,"$1,871.98 ",
Volkswagen Vento Diesel Highline,2013,62746,Diesel,Manual,Second,20.54 kmpl,1598 CC,103.6 bhp,5,"$7,125.60 ",
Land Rover Freelander 2 HSE,2012,96000,Diesel,Automatic,First,12.35 kmpl,2179 CC,187.74 bhp,5,"$22,922.71 ",
Honda CR-V 2.0L 2WD MT,2014,24000,Petrol,Manual,First,13.7 kmpl,1997 CC,153.86 bhp,5,"$13,900.97 ",
Maruti Ertiga VDI,2016,54000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7,"$9,359.90 ",
Toyota Innova 2.5 GX (Diesel) 7 Seater,2016,90000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,"$16,787.44 ",
Tata Manza Aura Safire,2010,40000,Petrol,Manual,First,15.0 kmpl,1368 CC,90 bhp,5,"$1,630.43 ",
Audi Q7 35 TDI Quattro Premium Plus,2015,65938,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7,"$45,893.72 ",
Hyundai Verna 1.6 SX VTVT (O) AT,2017,16100,Petrol,Automatic,First,17.1 kmpl,1591 CC,121.4 bhp,5,"$14,009.66 ",
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2017,3600,Diesel,Automatic,First,21.5 kmpl,1498 CC,108.5 bhp,5,"$14,794.69 ",
Honda City 1.5 S MT,2011,52000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,"$4,589.37 ",
Ford Figo Diesel Titanium,2014,54000,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,"$3,925.12 ",
Honda Jazz 1.2 VX i VTEC,2016,15399,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5,"$7,729.47 ",
Volkswagen Polo Petrol Highline 1.2L,2012,75000,Petrol,Manual,Second,16.47 kmpl,1198 CC,73.9 bhp,5,"$4,770.53 ",
Honda City i-VTEC S,2010,76752,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5,"$4,311.59 ",
Honda City ZX GXi,2005,56000,Petrol,Manual,Second,17.7 kmpl,1497 CC,78 bhp,5,"$1,509.66 ",
Maruti Wagon R LXI CNG,2015,70000,CNG,Manual,First,26.2 km/kg,998 CC,58.2 bhp,5,"$4,408.21 ",
Honda CR-V 2.4L 4WD AT AVN,2013,46125,Petrol,Automatic,Second,12.0 kmpl,2354 CC,187.4 bhp,5,"$15,096.62 ",
BMW 5 Series 2013-2017 520d Luxury Line,2014,35000,Diesel,Automatic,Second,18.12 kmpl,1995 CC,190 bhp,5,"$27,777.78 ",
Ambassador Classic Nova Diesel,2003,80000,Diesel,Manual,Third,12.8 kmpl,1489 CC,35.5 bhp,5,"$1,630.43 ",
Mahindra Scorpio VLX 2.2 mHawk BSIII,2012,62729,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8,"$7,632.85 ",
Volkswagen Vento Diesel Comfortline,2012,34000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5,"$4,106.28 ",
Maruti Zen VX,1999,70000,Petrol,Manual,Second,17.3 kmpl,993 CC,60 bhp,5,$929.95 ,
Maruti 800 DX BSII,2009,32000,Petrol,Manual,First,16.1 kmpl,796 CC,37 bhp,4,"$1,086.96 ",
Toyota Corolla Altis 1.8 VL CVT,2017,21000,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5,"$21,739.13 ","$28,079.71 "
BMW 3 Series 328i Sport Line,2013,49000,Petrol,Automatic,First,14.59 kmpl,1997 CC,245 bhp,5,"$22,946.86 ",
Ford Ikon 1.3 Flair,2007,40000,Petrol,Manual,Third,13.8 kmpl,1299 CC,70 bhp,5,"$1,328.50 ",
Chevrolet Beat LT,2012,78000,Petrol,Manual,Second,18.6 kmpl,1199 CC,79.4 bhp,5,"$2,415.46 ",
Toyota Corolla Altis 1.4 DG,2012,52000,Diesel,Manual,First,21.43 kmpl,1364 CC,86.79 bhp,5,"$7,850.24 ","$23,272.95 "
Mahindra XUV500 W4,2014,65213,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7,"$11,413.04 ",
Hyundai Xcent 1.1 CRDi Base,2016,170000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,"$4,830.92 ",
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,2017,36884,Diesel,Automatic,First,13.0 kmpl,2143 CC,204 bhp,5,"$38,949.28 ",
Hyundai i10 Sportz,2009,62500,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,"$2,536.23 ",
Toyota Corolla Altis VL AT,2015,68000,Petrol,Automatic,Second,14.28 kmpl,1798 CC,138.03 bhp,5,"$11,775.36 ",
Toyota Corolla 1.8 J,2014,40748,Petrol,Manual,First,14.53 kmpl,1798 CC,138 bhp,5,"$7,608.70 ",
Audi Q3 2.0 TDI Quattro,2013,60000,Diesel,Automatic,First,17.32 kmpl,1968 CC,184 bhp,5,"$25,362.32 ",
Hyundai i20 Magna Optional 1.4 CRDi,2014,12400,Diesel,Manual,First,21.9 kmpl,1396 CC,88.8 bhp,5,"$5,615.94 ",
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2013,87000,Diesel,Automatic,Second,19.27 kmpl,2143 CC,167.62 bhp,5,"$20,531.40 ",
Maruti Ritz VDi,2013,20248,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5,"$5,253.62 ",
Hyundai Creta 1.6 SX Plus Diesel,2017,52383,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5,"$17,898.55 ",
Jaguar XE 2.0L Diesel Prestige,2018,1000,Diesel,Automatic,First,13.6 kmpl,1999 CC,177 bhp,5,"$48,309.18 ","$63,731.88 "
Mahindra Xylo D4,2016,85000,Diesel,Manual,First,14.95 kmpl,2489 CC,93.7 bhp,7,"$7,427.54 ","$14,094.20 "
Toyota Innova 2.5 G (Diesel) 7 Seater,2014,47000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,"$13,586.96 ",
Toyota Camry 2.5 Hybrid,2018,17585,Petrol,Automatic,First,19.16 kmpl,2494 CC,157.7 bhp,5,"$38,647.34 ",
Audi Q5 3.0 TDI Quattro,2018,32496,Diesel,Automatic,First,13.22 kmpl,2967 CC,241.4 bhp,5,"$55,096.62 ",
Maruti Swift VDI,2017,34613,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,"$7,536.23 ","$9,565.22 "
Maruti Ertiga VDI Limited Edition,2015,153000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7,"$5,797.10 ",
Maruti Swift VXi BSIV,2014,54000,Petrol,Manual,Second,16.1 kmpl,1197 CC,85 bhp,5,"$5,434.78 ",
Hyundai i10 Sportz,2015,16900,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,"$4,673.91 ",
Hyundai i10 Sportz,2013,62334,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,"$3,321.26 ",
Maruti Baleno Sigma 1.2,2018,23714,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,"$7,934.78 ",
Hyundai Accent Executive,2010,52325,Petrol,Manual,First,16.36 kmpl,1495 CC,93.7 bhp,5,"$2,415.46 ",
Honda Brio S MT,2012,50000,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,"$4,408.21 ",
Maruti Swift ZDi,2016,55746,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,"$8,393.72 ",
Hyundai Xcent 1.2 VTVT S,2014,54000,Petrol,Manual,First,20.14 kmpl,1197 CC,81.86 bhp,5,"$6,642.51 ","$9,480.68 "
Mahindra XUV500 W8 2WD,2013,43000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7,"$8,454.11 ",
Mercedes-Benz E-Class E250 CDI Avantgrade,2014,40000,Diesel,Automatic,First,13.0 kmpl,2143 CC,201.1 bhp,5,"$28,985.51 ",
Land Rover Freelander 2 TD4 S,2010,125000,Diesel,Automatic,Second,0.0 kmpl,2179 CC,115 bhp,5,"$13,285.02 ",
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2016,51944,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5,"$39,251.21 ",
Hyundai i20 Asta 1.4 CRDi,2015,46950,Diesel,Manual,First,21.27 kmpl,1396 CC,88.76 bhp,5,"$7,789.86 ",
Skoda Octavia Elegance 2.0 TDI AT,2015,23000,Diesel,Automatic,First,19.3 kmpl,1968 CC,141 bhp,5,"$19,021.74 ",
Honda City 1.5 S MT,2014,54546,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,"$6,642.51 ",
Toyota Fortuner 4x2 AT,2015,51535,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7,"$22,983.09 ",
Audi Q3 2.0 TDI Quattro,2013,45000,Diesel,Automatic,First,17.32 kmpl,1968 CC,184 bhp,5,"$18,417.87 ",
Maruti Alto K10 2010-2014 VXI,2012,46004,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5,"$2,898.55 ",
Tata Indigo eCS LX BSIV,2011,124000,Diesel,Manual,First,23.03 kmpl,1396 CC,69 bhp,5,"$2,777.78 ",
Audi A4 2.0 TDI 177 Bhp Premium Plus,2014,77395,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,"$17,330.92 ",
Maruti Alto 800 2016-2019 CNG LXI,2018,10600,CNG,Manual,First,33.44 km/kg,796 CC,40.3 bhp,4,"$4,227.05 ",
Honda City i-VTEC CVT VX,2018,22974,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5,"$14,456.52 ","$18,780.19 "
Hyundai Santro GLS I - Euro II,2009,89000,Petrol,Manual,Second,0.0 kmpl,999 CC,null bhp,5,"$1,932.37 ",
Toyota Fortuner 2.8 2WD MT,2015,65012,Diesel,Manual,First,14.24 kmpl,2755 CC,174.5 bhp,7,"$22,826.09 ","$39,190.82 "
Hyundai Grand i10 Sportz,2017,17125,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,"$6,521.74 ",
Maruti Eeco 7 Seater Standard,2015,90413,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7,"$3,562.80 ","$5,833.33 "
Volkswagen Polo Petrol Highline 1.2L,2013,37000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5,"$6,159.42 ",
Maruti Wagon R LXI Minor,2006,65000,Petrol,Manual,First,18.9 kmpl,1061 CC,67 bhp,5,"$1,811.59 ",
Honda City 1.5 V MT,2011,66000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,"$5,917.87 ",
Honda Civic 2010-2013 1.8 S MT,2010,86000,Petrol,Manual,First,14.8 kmpl,1799 CC,130.2 bhp,5,"$3,502.42 ",
Honda City 1.5 EXI,2005,98437,Petrol,Manual,First,13.0 kmpl,1493 CC,100 bhp,5,"$1,388.89 ",
Hyundai i20 1.2 Magna,2010,18000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5,"$2,777.78 ",
Hyundai Grand i10 CRDi Sportz Celebration Edition,2018,35070,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5,"$7,234.30 ",
Volkswagen Vento Petrol Highline AT,2011,42000,Petrol,Automatic,Third,14.4 kmpl,1598 CC,103.6 bhp,5,"$4,106.28 ",
Hyundai i10 Sportz 1.2,2009,40000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,"$2,053.14 ",
Hyundai i20 Asta,2009,43000,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5,"$2,403.38 ",
Chevrolet Beat LS,2012,65000,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5,"$3,019.32 ",
Volkswagen Polo Diesel Highline 1.2L,2013,74000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,"$5,857.49 ",
Ford Figo Petrol LXI,2010,51192,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5,"$3,200.48 ",
Audi TT 2.0 TFSI,2014,14262,Petrol,Automatic,First,9.9 kmpl,1984 CC,207.8 bhp,2,"$33,031.40 ",
Honda City i DTEC VX,2015,66339,Diesel,Manual,Second,25.1 kmpl,1498 CC,98.6 bhp,5,"$8,333.33 ",
Ford Figo Diesel Titanium,2013,90200,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,"$4,227.05 ",
Toyota Innova 2.5 ZX Diesel 7 Seater,2015,57854,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,"$15,096.62 ",
Maruti Ciaz 1.4 AT Alpha,2017,32000,Petrol,Automatic,First,19.12 kmpl,1373 CC,91.1 bhp,5,"$11,111.11 ",
Hyundai Grand i10 AT Asta,2015,29631,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5,"$5,917.87 ",
Honda City 1.3 DX,2009,55005,Petrol,Manual,First,12.8 kmpl,,,,"$3,864.73 ",
Ford EcoSport 1.0 Ecoboost Titanium Plus BE,2014,54173,Petrol,Manual,First,18.88 kmpl,999 CC,123.24 bhp,5,"$6,702.90 ",
Skoda Octavia Ambition 1.8 TSI AT,2014,50000,Petrol,Automatic,First,14.7 kmpl,1798 CC,177.6 bhp,5,"$16,304.35 ",
Fiat Linea Emotion (Diesel),2010,145000,Diesel,Manual,First,20.4 kmpl,1248 CC,91.7 bhp,5,"$3,140.10 ",
Maruti Swift Lxi BSIII,2015,78000,Petrol,Manual,First,16.1 kmpl,1298 CC,88.2 bhp,5,"$5,434.78 ",
Land Rover Discovery 4 TDV6 SE,2013,65000,Diesel,Automatic,Second,11.8 kmpl,2993 CC,180 bhp,7,"$41,062.80 ",
Toyota Innova 2.5 V Diesel 7-seater,2012,120000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7,"$14,492.75 ",
Maruti Swift LDI,2015,14000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,"$6,340.58 ","$8,611.11 "
Audi A6 2011-2015 2.0 TDI Premium Plus,2014,57456,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,"$26,038.65 ",
BMW 5 Series 520d Luxury Line,2012,44450,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5,"$29,806.76 ","$86,739.13 "
Hyundai i20 Magna Optional 1.2,2013,63777,Petrol,Manual,First,18.5 kmpl,1197 CC,82.9 bhp,5,"$4,432.37 ",
BMW X1 M Sport sDrive 20d,2016,31000,Diesel,Automatic,First,17.05 kmpl,1995 CC,190 bhp,5,"$35,628.02 ","$61,557.97 "
Toyota Etios G,2012,60000,Petrol,Manual,First,17.6 kmpl,1496 CC,88.73 bhp,5,"$3,743.96 ",
Tata Indigo LX,2015,78008,Diesel,Manual,First,17.0 kmpl,1405 CC,70 bhp,5,"$3,502.42 ",
Mercedes-Benz M-Class ML 350 4Matic,2014,33000,Diesel,Automatic,Second,0.0 kmpl,2987 CC,165 bhp,5,"$51,932.37 ",
Volkswagen Beetle 2.0,2009,27078,Petrol,Automatic,First,10.98 kmpl,1984 CC,114.4 bhp,4,"$19,263.29 ",
Volkswagen Polo GT TDI,2011,57275,Diesel,Manual,First,19.7 kmpl,1598 CC,103.6 bhp,5,"$5,434.78 ",
Hyundai Grand i10 CRDi Magna,2014,45000,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5,"$4,214.98 ",
Maruti Swift VDI BSIV,2014,57319,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,"$5,132.85 ",
Hyundai Verna CRDi 1.4 E,2008,121097,Diesel,Manual,Second,24.0 kmpl,1396 CC,88.76 bhp,5,"$2,294.69 ","$12,958.94 "
BMW 5 Series 2003-2012 525d,2011,89000,Diesel,Automatic,First,16.73 kmpl,1995 CC,218 bhp,5,"$20,012.08 ",
Honda City 1.5 S MT,2012,72000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,"$6,944.44 ",
Audi A4 2.0 TDI,2013,36000,Diesel,Automatic,Second,16.55 kmpl,1968 CC,147.51 bhp,5,"$16,908.21 ",
Fiat Linea Classic Plus 1.3 Multijet,2013,86000,Diesel,Manual,Second,19.5 kmpl,1248 CC,75 bhp,5,"$3,019.32 ","$11,473.43 "
Honda City 1.3 EXI,2002,85000,Petrol,Manual,First,13.0 kmpl,1343 CC,90 bhp,5,"$1,449.28 ",
Fiat Petra 1.2 EL,2005,120000,Petrol,Manual,Second,15.5 kmpl,1242 CC,null bhp,5,"$1,026.57 ",
BMW 3 Series 320d Luxury Line,2013,37613,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,"$16,847.83 ","$63,357.49 "
Ford Fiesta 1.4 Duratec EXI,2007,100000,Petrol,Manual,First,16.6 kmpl,1388 CC,68 bhp,5,"$1,932.37 ",
Tata Nano XTA,2016,5240,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4,"$4,347.83 ",
Maruti Eeco 5 STR With AC Plus HTR CNG,2018,20000,CNG,Manual,First,15.1 km/kg,1196 CC,73 bhp,5,"$5,434.78 ",
Maruti Ignis 1.2 Delta,2019,16862,Petrol,Manual,First,20.89 kmpl,1197 CC,81.80 bhp,5,"$7,318.84 ","$7,330.92 "
Maruti Swift Dzire ZXi,2013,59254,Petrol,Manual,Second,17.5 kmpl,1298 CC,85.8 bhp,5,"$6,388.89 ",
Ford Ecosport 1.5 DV5 MT Titanium,2014,60000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,"$6,944.44 ",
Maruti Swift 1.3 ZXI,2015,50295,Petrol,Manual,First,16.1 kmpl,,,,"$7,004.83 ",
Maruti Swift Dzire VXI,2014,47674,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5,"$6,908.21 ",
Hyundai i10 Sportz AT,2014,61517,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5,"$5,301.93 ",
Mahindra XUV500 W6 2WD,2016,62946,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,"$13,345.41 ",
Hyundai i20 Magna 1.4 CRDi,2015,66823,Diesel,Manual,Second,22.54 kmpl,1396 CC,88.73 bhp,5,"$5,833.33 ",
Maruti Wagon R CNG LXI,2013,79494,CNG,Manual,First,33.54 km/kg,998 CC,67.04 bhp,5,"$3,574.88 ","$6,690.82 "
Hyundai i20 Asta 1.4 CRDi,2012,107000,Diesel,Manual,Second,21.27 kmpl,1396 CC,88.76 bhp,5,"$5,434.78 ",
BMW 7 Series 730Ld,2011,55000,Diesel,Automatic,Second,16.46 kmpl,2993 CC,258 bhp,5,"$23,550.72 ",
Skoda Rapid 1.6 MPI AT Style Plus,2017,24000,Petrol,Automatic,First,14.3 kmpl,1598 CC,103.52 bhp,5,"$10,567.63 ",
Audi Q7 45 TDI Quattro Technology,2016,20002,Diesel,Automatic,First,14.75 kmpl,2967 CC,245 bhp,7,"$80,917.87 ","$1,256.04 "
Honda City i VTEC VX,2016,54317,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5,"$10,144.93 ",
Hyundai Xcent 1.2 Kappa SX,2016,10200,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5,"$6,026.57 ",
Honda City i DTec E,2016,24337,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,"$9,879.23 ",
